eventId,clientType,alObjectType,alObjectId,alObjectName,extensionName,extensionPublisher,Count,PercentOfTotal,FirstSeen [UTC],LastSeen [UTC],AvgPerHour,AvgExecutionMs,MaxExecutionMs,SampleMessage
AL0000CZ0,WebServiceClient,CodeUnit,1351,Telemetry Subscribers,Base Application,Microsoft,9,0.01,"10/30/2025, 8:57:12.951 AM","10/30/2025, 1:43:29.423 PM",0.4,NaN,,Sales invoice posted: SR25-20974
RT0018,Background,CodeUnit,449,Job Queue Start Codeunit,Base Application,Microsoft,9,0.01,"10/30/2025, 9:30:29.648 AM","10/31/2025, 8:16:42.943 AM",0.4,NaN,,Operation exceeded time threshold (AL method)
CL0001,Desktop,Page,5050,Contact Card,,,9,0.01,"10/30/2025, 10:03:17.952 AM","10/30/2025, 2:43:44.205 PM",0.4,NaN,,
CL0001,Desktop,Page,10008002,Appr Invoice Registration,,,9,0.01,"10/30/2025, 2:12:05.256 PM","10/31/2025, 7:17:34.369 AM",0.4,NaN,,
CL0001,Desktop,Page,7004,Sales Line Discounts,,,9,0.01,"10/30/2025, 9:19:35.561 AM","10/30/2025, 2:28:47.922 PM",0.4,NaN,,
RT0006,WebServiceClient,Report,1306,Standard Sales - Invoice,Base Application,Microsoft,9,0.01,"10/30/2025, 8:57:13.140 AM","10/30/2025, 1:43:29.607 PM",0.4,187.08,282.52,Report rendered: 1306 - Sales - Invoice
CL0001,Desktop,Page,10008444,RSM XML Sales Invoices,,,9,0.01,"10/30/2025, 9:37:25.673 AM","10/31/2025, 7:55:09.925 AM",0.4,NaN,,
CL0001,Desktop,Page,134,Posted Sales Credit Memo,,,8,0.01,"10/30/2025, 8:43:44.588 AM","10/30/2025, 3:33:20.051 PM",0.3,NaN,,
CL0001,Desktop,Page,9300,Sales Quotes,,,7,0,"10/30/2025, 1:04:29.912 PM","10/30/2025, 3:45:10.705 PM",0.3,NaN,,
RT0018,Background,CodeUnit,1371,Sales Batch Post Mgt.,Base Application,Microsoft,6,0,"10/31/2025, 8:10:56.472 AM","10/31/2025, 8:16:42.924 AM",0.3,NaN,,Operation exceeded time threshold (AL method)
CL0001,Desktop,Page,51,Purchase Invoice,,,6,0,"10/30/2025, 8:42:13.883 AM","10/30/2025, 10:36:10.419 AM",0.3,NaN,,
RT0029,Background,CodeUnit,99001468,LSC NAS Scheduler Service,LS Central,LS Retail,6,0,"10/30/2025, 11:48:31.256 AM","10/31/2025, 7:48:35.287 AM",0.3,NaN,,The StopSession method was invoked on session 276840
RT0019,Background,CodeUnit,10027207,RepCustomerAccess,Wise Reports,Wise,6,0,"10/30/2025, 2:34:14.404 PM","10/30/2025, 3:01:29.465 PM",0.3,21043.28,21074.49,Web Service Called (Outgoing): https://prod-09.northeurope.logic.azure.com
CL0001,Desktop,Page,10016653,LSC Customer Order List,,,6,0,"10/30/2025, 10:18:51.520 AM","10/30/2025, 3:29:49.512 PM",0.3,NaN,,
RT0018,Background,CodeUnit,99001469,LSC Scheduler Service,LS Central,LS Retail,6,0,"10/30/2025, 11:48:31.256 AM","10/31/2025, 7:48:35.287 AM",0.3,NaN,,Operation exceeded time threshold (AL method)
CL0001,Desktop,Page,-1,Lookupform36_Sales Header,,,6,0,"10/30/2025, 12:06:06.347 PM","10/30/2025, 3:00:10.169 PM",0.3,NaN,,
RT0018,Background,CodeUnit,10027207,RepCustomerAccess,Wise Reports,Wise,6,0,"10/30/2025, 2:34:14.404 PM","10/30/2025, 3:01:29.465 PM",0.3,NaN,,Operation exceeded time threshold (AL method)
CL0001,Desktop,Page,45,Sales List,,,6,0,"10/30/2025, 12:06:09.008 PM","10/30/2025, 3:00:11.908 PM",0.3,NaN,,
RT0018,Background,CodeUnit,80253,HAG Export Processing,Hagar Connect,Hagar,6,0,"10/30/2025, 8:30:52.588 AM","10/31/2025, 1:04:57.930 AM",0.3,NaN,,Operation exceeded time threshold (AL method)
CL0001,Desktop,Page,10008004,Appr Invoice,,,6,0,"10/30/2025, 2:25:47.255 PM","10/31/2025, 7:15:10.431 AM",0.3,NaN,,
CL0001,Desktop,Page,251,General Journal Batches,,,6,0,"10/30/2025, 1:33:05.772 PM","10/31/2025, 7:27:48.521 AM",0.3,NaN,,
RT0019,Background,CodeUnit,10025918,RSM Customer Access,Wise e-Invoices,Wise,5,0,"10/30/2025, 12:02:31.358 PM","10/30/2025, 2:54:44.431 PM",0.2,21056.04,21097.7,Web Service Called (Outgoing): https://prod-09.northeurope.logic.azure.com
AL0000CST,WebClient,CodeUnit,1351,Telemetry Subscribers,Base Application,Microsoft,5,0,"10/30/2025, 12:06:03.462 PM","10/30/2025, 3:01:20.676 PM",0.2,NaN,,Purchase document posted: IP22-83467
